[2025-03-09T16:16:36.369+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-09T16:16:36.417+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:16:30.743507+00:00 [queued]>
[2025-03-09T16:16:36.441+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:16:30.743507+00:00 [queued]>
[2025-03-09T16:16:36.443+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-09T16:16:36.489+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-09 16:16:30.743507+00:00
[2025-03-09T16:16:36.511+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=90) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-09T16:16:36.513+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-09T16:16:30.743507+00:00', '--job-id', '203', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmpbczo6v5_']
[2025-03-09T16:16:36.524+0000] {standard_task_runner.py:105} INFO - Job 203: Subtask extract_data
[2025-03-09T16:16:36.518+0000] {standard_task_runner.py:72} INFO - Started process 92 to run task
[2025-03-09T16:16:36.676+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:16:30.743507+00:00 [running]> on host 41de56cfff50
[2025-03-09T16:16:37.747+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-09T16:16:30.743507+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-09T16:16:30.743507+00:00'
[2025-03-09T16:16:37.749+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-09T16:16:37.750+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-09T16:16:37.751+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-09 16:16:36.418441+00:00
[2025-03-09T16:16:37.752+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-09T16:16:37.753+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-09T16:16:37.787+0000] {tiki_extract_dag.py:20} INFO - Loaded categories: ['lam-dep-suc-khoe', 'dien-thoai-may-tinh-bang', 'laptop-may-vi-tinh-linh-kien', 'dien-gia-dung', 'sach', 'thiet-bi-kts-phu-kien-so', 'thoi-trang-nu', 'thoi-trang-nam', 'dong-ho-va-trang-suc', 'dien-tu-dien-lanh']
[2025-03-09T16:16:38.756+0000] {crawl_data.py:106} INFO - Crawling category lam-dep-suc-khoe with 1 pages
[2025-03-09T16:16:39.304+0000] {crawl_data.py:128} INFO - Skipped product 6874429 due to duplicate
[2025-03-09T16:16:39.305+0000] {crawl_data.py:128} INFO - Skipped product 1634983 due to duplicate
[2025-03-09T16:16:39.306+0000] {crawl_data.py:128} INFO - Skipped product 1634981 due to duplicate
