[2025-03-09T16:27:24.639+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-09T16:27:24.667+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:27:20.645420+00:00 [queued]>
[2025-03-09T16:27:24.685+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:27:20.645420+00:00 [queued]>
[2025-03-09T16:27:24.687+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-09T16:27:24.711+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-09 16:27:20.645420+00:00
[2025-03-09T16:27:24.724+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=89) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-09T16:27:24.727+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-09T16:27:20.645420+00:00', '--job-id', '215', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmp6wli7u6w']
[2025-03-09T16:27:24.728+0000] {standard_task_runner.py:72} INFO - Started process 91 to run task
[2025-03-09T16:27:24.729+0000] {standard_task_runner.py:105} INFO - Job 215: Subtask extract_data
[2025-03-09T16:27:24.827+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:27:20.645420+00:00 [running]> on host 72a6d77a3cc5
[2025-03-09T16:27:25.448+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-09T16:27:20.645420+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-09T16:27:20.645420+00:00'
[2025-03-09T16:27:25.450+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-09T16:27:25.450+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-09T16:27:25.451+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-09 16:27:24.668862+00:00
[2025-03-09T16:27:25.452+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-09T16:27:25.453+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-09T16:27:25.484+0000] {tiki_extract_dag.py:20} INFO - Loaded categories: ['lam-dep-suc-khoe', 'dien-thoai-may-tinh-bang', 'laptop-may-vi-tinh-linh-kien', 'dien-gia-dung', 'sach', 'thiet-bi-kts-phu-kien-so', 'thoi-trang-nu', 'thoi-trang-nam', 'dong-ho-va-trang-suc', 'dien-tu-dien-lanh']
[2025-03-09T16:27:26.392+0000] {crawl_data.py:106} INFO - Crawling category lam-dep-suc-khoe with 1 pages
[2025-03-09T16:27:26.952+0000] {crawl_data.py:128} INFO - Skipped product 276003962 due to duplicate
[2025-03-09T16:27:26.953+0000] {crawl_data.py:128} INFO - Skipped product 275970393 due to duplicate
[2025-03-09T16:27:26.954+0000] {crawl_data.py:128} INFO - Skipped product 273598230 due to duplicate
[2025-03-09T16:27:26.955+0000] {crawl_data.py:128} INFO - Skipped product 191680827 due to duplicate
[2025-03-09T16:27:26.955+0000] {crawl_data.py:128} INFO - Skipped product 186434710 due to duplicate
[2025-03-09T16:27:26.956+0000] {crawl_data.py:128} INFO - Skipped product 179988643 due to duplicate
