[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:03.813+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672155 due to duplicate
[2025-03-10T01:39:03.813+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672153 due to duplicate
[2025-03-10T01:39:03.815+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634983 due to duplicate
[2025-03-10T01:39:03.815+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634981 due to duplicate
[2025-03-10T01:39:03.816+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1537315 due to duplicate
[2025-03-10T01:39:03.816+0000] {tiki_extract_dag.py:151} INFO - Skipped product 767101 due to duplicate
[2025-03-10T01:39:03.817+0000] {tiki_extract_dag.py:151} INFO - Skipped product 632680 due to duplicate
[2025-03-10T01:39:03.817+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385654 due to duplicate
[2025-03-10T01:39:03.818+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385582 due to duplicate
[2025-03-10T01:39:03.819+0000] {tiki_extract_dag.py:154} INFO - Extracted page 1 - lam-dep-suc-khoe, 40 items, total extracted: 0
[2025-03-10T01:39:07.771+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276540526 due to duplicate
[2025-03-10T01:39:07.772+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275969670 due to duplicate
[2025-03-10T01:39:07.773+0000] {tiki_extract_dag.py:151} INFO - Skipped product 274884816 due to duplicate
[2025-03-10T01:39:07.773+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273201159 due to duplicate
[2025-03-10T01:39:07.774+0000] {tiki_extract_dag.py:151} INFO - Skipped product 260844985 due to duplicate
[2025-03-10T01:39:07.774+0000] {tiki_extract_dag.py:151} INFO - Skipped product 214230523 due to duplicate
[2025-03-10T01:39:07.775+0000] {tiki_extract_dag.py:151} INFO - Skipped product 195927144 due to duplicate
[2025-03-10T01:39:07.775+0000] {tiki_extract_dag.py:151} INFO - Skipped product 193583705 due to duplicate
[2025-03-10T01:39:07.776+0000] {tiki_extract_dag.py:151} INFO - Skipped product 182457734 due to duplicate
[2025-03-10T01:39:07.776+0000] {tiki_extract_dag.py:151} INFO - Skipped product 176672113 due to duplicate
[2025-03-10T01:39:07.777+0000] {tiki_extract_dag.py:151} INFO - Skipped product 174071718 due to duplicate
[2025-03-10T01:39:07.777+0000] {tiki_extract_dag.py:151} INFO - Skipped product 153599393 due to duplicate
[2025-03-10T01:39:07.778+0000] {tiki_extract_dag.py:151} INFO - Skipped product 137534886 due to duplicate
[2025-03-10T01:39:07.779+0000] {tiki_extract_dag.py:151} INFO - Skipped product 133245977 due to duplicate
[2025-03-10T01:39:07.779+0000] {tiki_extract_dag.py:151} INFO - Skipped product 132353050 due to duplicate
[2025-03-10T01:39:07.780+0000] {tiki_extract_dag.py:151} INFO - Skipped product 117926982 due to duplicate
[2025-03-10T01:39:07.780+0000] {tiki_extract_dag.py:151} INFO - Skipped product 103341055 due to duplicate
[2025-03-10T01:39:07.781+0000] {tiki_extract_dag.py:151} INFO - Skipped product 73574991 due to duplicate
