[2025-03-07T23:16:48.674+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-07T23:16:48.689+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.697+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.698+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-07T23:16:48.712+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-07 23:16:45.328510+00:00
[2025-03-07T23:16:48.720+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=782) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-07T23:16:48.721+0000] {standard_task_runner.py:72} INFO - Started process 784 to run task
[2025-03-07T23:16:48.722+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-07T23:16:45.328510+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmpbdtbrso1']
[2025-03-07T23:16:48.723+0000] {standard_task_runner.py:105} INFO - Job 41: Subtask extract_data
[2025-03-07T23:18:15.307+0000] {crawl_data.py:118} INFO - Extracted page 26 - lam-dep-suc-khoe, 10 items, total extracted: 260
[2025-03-07T23:18:18.133+0000] {crawl_data.py:118} INFO - Extracted page 27 - lam-dep-suc-khoe, 10 items, total extracted: 270
[2025-03-07T23:18:22.564+0000] {crawl_data.py:118} INFO - Extracted page 28 - lam-dep-suc-khoe, 10 items, total extracted: 280
[2025-03-07T23:18:26.154+0000] {crawl_data.py:118} INFO - Extracted page 29 - lam-dep-suc-khoe, 10 items, total extracted: 290
[2025-03-07T23:18:28.507+0000] {crawl_data.py:118} INFO - Extracted page 30 - lam-dep-suc-khoe, 10 items, total extracted: 300
[2025-03-07T23:18:31.763+0000] {crawl_data.py:118} INFO - Extracted page 31 - lam-dep-suc-khoe, 10 items, total extracted: 310
[2025-03-07T23:18:36.843+0000] {crawl_data.py:118} INFO - Extracted page 32 - lam-dep-suc-khoe, 10 items, total extracted: 320
[2025-03-07T23:18:41.190+0000] {crawl_data.py:118} INFO - Extracted page 33 - lam-dep-suc-khoe, 10 items, total extracted: 330
[2025-03-07T23:18:45.025+0000] {crawl_data.py:118} INFO - Extracted page 34 - lam-dep-suc-khoe, 10 items, total extracted: 340
[2025-03-07T23:18:49.538+0000] {crawl_data.py:118} INFO - Extracted page 35 - lam-dep-suc-khoe, 10 items, total extracted: 350
[2025-03-07T23:18:54.385+0000] {crawl_data.py:118} INFO - Extracted page 36 - lam-dep-suc-khoe, 10 items, total extracted: 360
[2025-03-07T23:18:57.954+0000] {crawl_data.py:118} INFO - Extracted page 37 - lam-dep-suc-khoe, 10 items, total extracted: 370
[2025-03-07T23:19:02.486+0000] {crawl_data.py:118} INFO - Extracted page 38 - lam-dep-suc-khoe, 10 items, total extracted: 380
[2025-03-07T23:19:07.843+0000] {crawl_data.py:118} INFO - Extracted page 39 - lam-dep-suc-khoe, 10 items, total extracted: 390
[2025-03-07T23:19:10.598+0000] {crawl_data.py:118} INFO - Extracted page 40 - lam-dep-suc-khoe, 10 items, total extracted: 400
[2025-03-07T23:19:13.713+0000] {crawl_data.py:101} INFO - Crawling category dien-thoai-may-tinh-bang with 40 pages
[2025-03-07T23:19:13.944+0000] {crawl_data.py:118} INFO - Extracted page 1 - dien-thoai-may-tinh-bang, 10 items, total extracted: 410
[2025-03-07T23:19:16.425+0000] {crawl_data.py:118} INFO - Extracted page 2 - dien-thoai-may-tinh-bang, 10 items, total extracted: 420
[2025-03-07T23:19:21.655+0000] {crawl_data.py:118} INFO - Extracted page 3 - dien-thoai-may-tinh-bang, 10 items, total extracted: 430
[2025-03-07T23:19:24.984+0000] {crawl_data.py:118} INFO - Extracted page 4 - dien-thoai-may-tinh-bang, 10 items, total extracted: 440
[2025-03-07T23:19:28.729+0000] {crawl_data.py:118} INFO - Extracted page 5 - dien-thoai-may-tinh-bang, 10 items, total extracted: 450
[2025-03-07T23:19:33.818+0000] {crawl_data.py:118} INFO - Extracted page 6 - dien-thoai-may-tinh-bang, 10 items, total extracted: 460
[2025-03-07T23:19:36.656+0000] {crawl_data.py:118} INFO - Extracted page 7 - dien-thoai-may-tinh-bang, 10 items, total extracted: 470
[2025-03-07T23:19:40.742+0000] {crawl_data.py:118} INFO - Extracted page 8 - dien-thoai-may-tinh-bang, 10 items, total extracted: 480
[2025-03-07T23:19:45.535+0000] {crawl_data.py:118} INFO - Extracted page 9 - dien-thoai-may-tinh-bang, 10 items, total extracted: 490
[2025-03-07T23:19:50.106+0000] {crawl_data.py:118} INFO - Extracted page 10 - dien-thoai-may-tinh-bang, 10 items, total extracted: 500
[2025-03-07T23:19:55.366+0000] {crawl_data.py:118} INFO - Extracted page 11 - dien-thoai-may-tinh-bang, 10 items, total extracted: 510
[2025-03-07T23:19:59.986+0000] {crawl_data.py:118} INFO - Extracted page 12 - dien-thoai-may-tinh-bang, 10 items, total extracted: 520
[2025-03-07T23:20:04.272+0000] {crawl_data.py:118} INFO - Extracted page 13 - dien-thoai-may-tinh-bang, 10 items, total extracted: 530
[2025-03-07T23:20:08.661+0000] {crawl_data.py:118} INFO - Extracted page 14 - dien-thoai-may-tinh-bang, 10 items, total extracted: 540
[2025-03-07T23:20:13.072+0000] {crawl_data.py:118} INFO - Extracted page 15 - dien-thoai-may-tinh-bang, 10 items, total extracted: 550
[2025-03-07T23:20:18.287+0000] {crawl_data.py:118} INFO - Extracted page 16 - dien-thoai-may-tinh-bang, 10 items, total extracted: 560
[2025-03-07T23:20:20.635+0000] {crawl_data.py:118} INFO - Extracted page 17 - dien-thoai-may-tinh-bang, 10 items, total extracted: 570
[2025-03-07T23:20:25.890+0000] {crawl_data.py:118} INFO - Extracted page 18 - dien-thoai-may-tinh-bang, 10 items, total extracted: 580
[2025-03-07T23:20:28.604+0000] {crawl_data.py:118} INFO - Extracted page 19 - dien-thoai-may-tinh-bang, 10 items, total extracted: 590
[2025-03-07T23:20:31.421+0000] {crawl_data.py:118} INFO - Extracted page 20 - dien-thoai-may-tinh-bang, 10 items, total extracted: 600
