[2025-03-07T22:24:20.306+0000] {crawl_data.py:111} INFO - Extracted page 33 - lam-dep-suc-khoe
[2025-03-07T22:24:23.134+0000] {crawl_data.py:111} INFO - Extracted page 34 - lam-dep-suc-khoe
[2025-03-07T22:24:25.537+0000] {crawl_data.py:111} INFO - Extracted page 35 - lam-dep-suc-khoe
[2025-03-07T22:24:27.212+0000] {crawl_data.py:111} INFO - Extracted page 36 - lam-dep-suc-khoe
[2025-03-07T22:24:29.208+0000] {crawl_data.py:111} INFO - Extracted page 37 - lam-dep-suc-khoe
[2025-03-07T22:24:31.018+0000] {crawl_data.py:111} INFO - Extracted page 38 - lam-dep-suc-khoe
[2025-03-07T22:24:32.624+0000] {crawl_data.py:111} INFO - Extracted page 39 - lam-dep-suc-khoe
[2025-03-07T22:24:35.875+0000] {crawl_data.py:111} INFO - Extracted page 40 - lam-dep-suc-khoe
[2025-03-07T22:24:37.237+0000] {crawl_data.py:111} INFO - Extracted page 1 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:40.463+0000] {crawl_data.py:111} INFO - Extracted page 2 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:43.197+0000] {crawl_data.py:111} INFO - Extracted page 3 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:44.843+0000] {crawl_data.py:111} INFO - Extracted page 4 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:47.941+0000] {crawl_data.py:111} INFO - Extracted page 5 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:51.132+0000] {crawl_data.py:111} INFO - Extracted page 6 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:53.751+0000] {crawl_data.py:111} INFO - Extracted page 7 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:55.876+0000] {crawl_data.py:111} INFO - Extracted page 8 - dien-thoai-may-tinh-bang
[2025-03-07T22:24:57.212+0000] {crawl_data.py:111} INFO - Extracted page 9 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:00.191+0000] {crawl_data.py:111} INFO - Extracted page 10 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:01.850+0000] {crawl_data.py:111} INFO - Extracted page 11 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:04.515+0000] {crawl_data.py:111} INFO - Extracted page 12 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:06.241+0000] {crawl_data.py:111} INFO - Extracted page 13 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:07.884+0000] {crawl_data.py:111} INFO - Extracted page 14 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:09.425+0000] {crawl_data.py:111} INFO - Extracted page 15 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:10.693+0000] {crawl_data.py:111} INFO - Extracted page 16 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:13.087+0000] {crawl_data.py:111} INFO - Extracted page 17 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:14.848+0000] {crawl_data.py:111} INFO - Extracted page 18 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:17.940+0000] {crawl_data.py:111} INFO - Extracted page 19 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:20.067+0000] {crawl_data.py:111} INFO - Extracted page 20 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:22.422+0000] {crawl_data.py:111} INFO - Extracted page 21 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:24.731+0000] {crawl_data.py:111} INFO - Extracted page 22 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:26.124+0000] {crawl_data.py:111} INFO - Extracted page 23 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:29.348+0000] {crawl_data.py:111} INFO - Extracted page 24 - dien-thoai-may-tinh-bang
[2025-03-07T22:25:32.362+0000] {crawl_data.py:111} INFO - Extracted page 25 - dien-thoai-may-tinh-bang
