[2025-03-10T07:16:35.159+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T07:16:35.189+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T07:16:24.915909+00:00 [queued]>
[2025-03-10T07:16:35.202+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T07:16:24.915909+00:00 [queued]>
[2025-03-10T07:16:35.204+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-10T07:16:35.232+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-10 07:16:24.915909+00:00
[2025-03-10T07:16:35.248+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4171) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-10T07:16:35.257+0000] {standard_task_runner.py:72} INFO - Started process 4173 to run task
[2025-03-10T07:16:35.280+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-10T07:16:24.915909+00:00', '--job-id', '310', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmp_tutqcmx']
[2025-03-10T07:16:35.282+0000] {standard_task_runner.py:105} INFO - Job 310: Subtask extract_data
[2025-03-10T07:16:35.472+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T07:16:24.915909+00:00 [running]> on host 72a6d77a3cc5
[2025-03-10T07:16:38.028+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-10T07:16:24.915909+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-10T07:16:24.915909+00:00'
[2025-03-10T07:16:38.033+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-10T07:16:38.034+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-10T07:16:38.035+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-10 07:16:35.189884+00:00
[2025-03-10T07:16:38.037+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-10T07:16:38.039+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-10T07:16:39.581+0000] {tiki_extract_dag.py:129} INFO - Crawling category lam-dep-suc-khoe with 50 pages
[2025-03-10T07:16:40.441+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276003962 due to duplicate
[2025-03-10T07:16:40.443+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275970393 due to duplicate
[2025-03-10T07:16:40.444+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273598230 due to duplicate
[2025-03-10T07:16:40.445+0000] {tiki_extract_dag.py:151} INFO - Skipped product 191680827 due to duplicate
[2025-03-10T07:16:40.447+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186434710 due to duplicate
[2025-03-10T07:16:40.448+0000] {tiki_extract_dag.py:151} INFO - Skipped product 179988643 due to duplicate
[2025-03-10T07:16:40.449+0000] {tiki_extract_dag.py:151} INFO - Skipped product 171564906 due to duplicate
[2025-03-10T07:16:40.451+0000] {tiki_extract_dag.py:151} INFO - Skipped product 168562118 due to duplicate
[2025-03-10T07:16:40.452+0000] {tiki_extract_dag.py:151} INFO - Skipped product 133245970 due to duplicate
[2025-03-10T07:16:40.454+0000] {tiki_extract_dag.py:151} INFO - Skipped product 128912879 due to duplicate
[2025-03-10T07:16:40.455+0000] {tiki_extract_dag.py:151} INFO - Skipped product 127026903 due to duplicate
[2025-03-10T07:16:40.457+0000] {tiki_extract_dag.py:151} INFO - Skipped product 118708687 due to duplicate
[2025-03-10T07:16:40.458+0000] {tiki_extract_dag.py:151} INFO - Skipped product 108535251 due to duplicate
[2025-03-10T07:16:40.458+0000] {tiki_extract_dag.py:151} INFO - Skipped product 95253531 due to duplicate
[2025-03-10T07:16:40.460+0000] {tiki_extract_dag.py:151} INFO - Skipped product 93078800 due to duplicate
[2025-03-10T07:16:40.462+0000] {tiki_extract_dag.py:151} INFO - Skipped product 91565733 due to duplicate
[2025-03-10T07:16:40.464+0000] {tiki_extract_dag.py:151} INFO - Skipped product 72644676 due to duplicate
[2025-03-10T07:16:40.465+0000] {tiki_extract_dag.py:151} INFO - Skipped product 25108217 due to duplicate
[2025-03-10T07:16:40.466+0000] {tiki_extract_dag.py:151} INFO - Skipped product 22254660 due to duplicate
[2025-03-10T07:16:40.467+0000] {tiki_extract_dag.py:151} INFO - Skipped product 22052325 due to duplicate
[2025-03-10T07:16:40.468+0000] {tiki_extract_dag.py:151} INFO - Skipped product 20541866 due to duplicate
[2025-03-10T07:16:40.468+0000] {tiki_extract_dag.py:151} INFO - Skipped product 14115539 due to duplicate
[2025-03-10T07:16:40.469+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10298023 due to duplicate
[2025-03-10T07:16:40.470+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10071383 due to duplicate
[2025-03-10T07:16:40.471+0000] {tiki_extract_dag.py:151} INFO - Skipped product 6874429 due to duplicate
[2025-03-10T07:16:40.473+0000] {tiki_extract_dag.py:151} INFO - Skipped product 5902685 due to duplicate
[2025-03-10T07:16:40.473+0000] {tiki_extract_dag.py:151} INFO - Skipped product 5560235 due to duplicate
[2025-03-10T07:16:40.474+0000] {tiki_extract_dag.py:151} INFO - Skipped product 2042227 due to duplicate
[2025-03-10T07:16:40.476+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672211 due to duplicate
[2025-03-10T07:16:40.478+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672157 due to duplicate
[2025-03-10T07:16:40.479+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672155 due to duplicate
[2025-03-10T07:16:40.480+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672153 due to duplicate
[2025-03-10T07:16:40.482+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634983 due to duplicate
[2025-03-10T07:16:40.483+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634981 due to duplicate
[2025-03-10T07:16:40.484+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1537315 due to duplicate
[2025-03-10T07:16:40.485+0000] {tiki_extract_dag.py:151} INFO - Skipped product 767101 due to duplicate
[2025-03-10T07:16:40.486+0000] {tiki_extract_dag.py:151} INFO - Skipped product 632680 due to duplicate
[2025-03-10T07:16:40.487+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385654 due to duplicate
[2025-03-10T07:16:40.488+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385582 due to duplicate
[2025-03-10T07:16:40.490+0000] {tiki_extract_dag.py:154} INFO - Extracted page 1 - lam-dep-suc-khoe, 40 items, total extracted: 1
[2025-03-10T07:16:44.308+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276540526 due to duplicate
[2025-03-10T07:16:44.309+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275969670 due to duplicate
