[2025-03-09T16:02:07.165+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-09T16:02:07.196+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:02:02.601631+00:00 [queued]>
[2025-03-09T16:02:07.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:02:02.601631+00:00 [queued]>
[2025-03-09T16:02:07.212+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-09T16:02:07.240+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-09 16:02:02.601631+00:00
[2025-03-09T16:02:07.253+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=106) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-09T16:02:07.257+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-09T16:02:02.601631+00:00', '--job-id', '192', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmp_tlxn8v0']
[2025-03-09T16:02:07.259+0000] {standard_task_runner.py:72} INFO - Started process 108 to run task
[2025-03-09T16:02:07.259+0000] {standard_task_runner.py:105} INFO - Job 192: Subtask extract_data
[2025-03-09T16:02:07.348+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-09T16:02:02.601631+00:00 [running]> on host b9298747792f
[2025-03-09T16:02:07.939+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-09T16:02:02.601631+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-09T16:02:02.601631+00:00'
[2025-03-09T16:02:07.942+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-09T16:02:07.944+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-09T16:02:07.946+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-09 16:02:07.197552+00:00
[2025-03-09T16:02:07.947+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-09T16:02:07.948+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-09T16:02:07.982+0000] {tiki_extract_dag.py:20} INFO - Loaded categories: ['lam-dep-suc-khoe', 'dien-thoai-may-tinh-bang', 'laptop-may-vi-tinh-linh-kien', 'dien-gia-dung', 'sach', 'thiet-bi-kts-phu-kien-so', 'thoi-trang-nu', 'thoi-trang-nam', 'dong-ho-va-trang-suc', 'dien-tu-dien-lanh']
[2025-03-09T16:02:08.912+0000] {crawl_data.py:106} INFO - Crawling category lam-dep-suc-khoe with 1 pages
[2025-03-09T16:02:09.621+0000] {crawl_data.py:128} INFO - Skipped product 276003962 due to duplicate
[2025-03-09T16:02:09.623+0000] {crawl_data.py:128} INFO - Skipped product 275970393 due to duplicate
[2025-03-09T16:02:09.624+0000] {crawl_data.py:128} INFO - Skipped product 273598230 due to duplicate
[2025-03-09T16:02:09.625+0000] {crawl_data.py:128} INFO - Skipped product 191680827 due to duplicate
[2025-03-09T16:02:09.626+0000] {crawl_data.py:128} INFO - Skipped product 186434710 due to duplicate
[2025-03-09T16:02:09.628+0000] {crawl_data.py:128} INFO - Skipped product 179988643 due to duplicate
[2025-03-09T16:02:09.629+0000] {crawl_data.py:128} INFO - Skipped product 171564906 due to duplicate
[2025-03-09T16:02:09.630+0000] {crawl_data.py:128} INFO - Skipped product 168562118 due to duplicate
[2025-03-09T16:02:09.631+0000] {crawl_data.py:128} INFO - Skipped product 133245970 due to duplicate
[2025-03-09T16:02:09.632+0000] {crawl_data.py:128} INFO - Skipped product 128912879 due to duplicate
[2025-03-09T16:02:09.633+0000] {crawl_data.py:128} INFO - Skipped product 127026903 due to duplicate
[2025-03-09T16:02:09.635+0000] {crawl_data.py:128} INFO - Skipped product 118708687 due to duplicate
[2025-03-09T16:02:09.636+0000] {crawl_data.py:128} INFO - Skipped product 108535251 due to duplicate
[2025-03-09T16:02:09.637+0000] {crawl_data.py:128} INFO - Skipped product 95253531 due to duplicate
[2025-03-09T16:02:09.638+0000] {crawl_data.py:128} INFO - Skipped product 93078800 due to duplicate
[2025-03-09T16:02:09.639+0000] {crawl_data.py:128} INFO - Skipped product 91565733 due to duplicate
[2025-03-09T16:02:09.640+0000] {crawl_data.py:128} INFO - Skipped product 72644676 due to duplicate
[2025-03-09T16:02:09.641+0000] {crawl_data.py:128} INFO - Skipped product 25108217 due to duplicate
[2025-03-09T16:02:09.642+0000] {crawl_data.py:128} INFO - Skipped product 22254660 due to duplicate
[2025-03-09T16:02:09.643+0000] {crawl_data.py:128} INFO - Skipped product 22052325 due to duplicate
[2025-03-09T16:02:09.645+0000] {crawl_data.py:128} INFO - Skipped product 20541866 due to duplicate
[2025-03-09T16:02:09.647+0000] {crawl_data.py:128} INFO - Skipped product 14115539 due to duplicate
[2025-03-09T16:02:09.648+0000] {crawl_data.py:128} INFO - Skipped product 10298023 due to duplicate
[2025-03-09T16:02:09.649+0000] {crawl_data.py:128} INFO - Skipped product 10071383 due to duplicate
[2025-03-09T16:02:09.650+0000] {crawl_data.py:128} INFO - Skipped product 6874429 due to duplicate
[2025-03-09T16:02:09.651+0000] {crawl_data.py:128} INFO - Skipped product 5902685 due to duplicate
[2025-03-09T16:02:09.652+0000] {crawl_data.py:128} INFO - Skipped product 5560235 due to duplicate
[2025-03-09T16:02:09.653+0000] {crawl_data.py:128} INFO - Skipped product 3554629 due to duplicate
[2025-03-09T16:02:09.654+0000] {crawl_data.py:128} INFO - Skipped product 2042227 due to duplicate
[2025-03-09T16:02:09.655+0000] {crawl_data.py:128} INFO - Skipped product 1672211 due to duplicate
[2025-03-09T16:02:09.656+0000] {crawl_data.py:128} INFO - Skipped product 1672157 due to duplicate
[2025-03-09T16:02:09.657+0000] {crawl_data.py:128} INFO - Skipped product 1672155 due to duplicate
[2025-03-09T16:02:09.658+0000] {crawl_data.py:128} INFO - Skipped product 1672153 due to duplicate
[2025-03-09T16:02:09.659+0000] {crawl_data.py:128} INFO - Skipped product 1634983 due to duplicate
[2025-03-09T16:02:09.661+0000] {crawl_data.py:128} INFO - Skipped product 1634981 due to duplicate
[2025-03-09T16:02:09.662+0000] {crawl_data.py:128} INFO - Skipped product 1537315 due to duplicate
[2025-03-09T16:02:09.663+0000] {crawl_data.py:128} INFO - Skipped product 767101 due to duplicate
[2025-03-09T16:02:09.664+0000] {crawl_data.py:128} INFO - Skipped product 632680 due to duplicate
[2025-03-09T16:02:09.665+0000] {crawl_data.py:128} INFO - Skipped product 385654 due to duplicate
[2025-03-09T16:02:09.667+0000] {crawl_data.py:128} INFO - Skipped product 385582 due to duplicate
